Maladie,Modele,R2,MAE,RMSE,MAPE
Diarrhée sanglante,Gradient Boosting,0.9836368334411336,0.1781673551023598,0.2651470336029644,4.645866801600698
Diarrhée sanglante,KNN,0.7815875172002754,0.5995710851778845,0.9687056327478116,16.435370244481966
Diarrhée sanglante,SVR,0.9249288930199168,0.3607288800684641,0.5679230651865075,11.027029076426212
FHA,Linear Regression,0.581846973448197,0.1141985737805166,0.1670424438270071,8.17367437468652
FHA,Ridge Regression,0.7617870848833325,0.0901296274204134,0.1260787413913994,6.679715655645856
FHA,Random Forest,0.0,0.1786891590393032,0.2802406139368464,14.746484747331271
FHA,Gradient Boosting,0.457822167623959,0.1138888261659908,0.1902085747149641,9.535766342966106
FHA,KNN,0.0,0.1456886149297337,0.2877638640654497,13.33399245154641
FHA,SVR,0.0,0.219199474592156,0.3211425367133603,18.01702045165164
FIEVRE JAUNE,Linear Regression,0.885642225933334,0.2591943501602081,0.2945497754284824,9.441775516452774
FIEVRE JAUNE,Ridge Regression,0.8858769890599067,0.261155538129115,0.294247281994304,9.547095027824293
FIEVRE JAUNE,Random Forest,0.7999121204476247,0.2625638583115214,0.3896155126918642,9.225681340031802
FIEVRE JAUNE,Gradient Boosting,0.8676086933867299,0.2053017928051158,0.3169243318859188,7.725267622870194
FIEVRE JAUNE,KNN,0.7642522207490918,0.342405319095642,0.42291165542629,12.29995718890791
FIEVRE JAUNE,SVR,0.9553280310004864,0.1465638311699431,0.1840955949809847,5.379208645149943
Fièvre typhoïde,Linear Regression,0.7158938636698828,0.7286348820205046,1.161699349275111,16.06298103007444
Fièvre typhoïde,Ridge Regression,0.7162017609892495,0.7272559910666309,1.1610696883288367,16.054480761899185
Fièvre typhoïde,Random Forest,0.9084743250169882,0.3088796521595546,0.6593635103001548,8.532091525835028
Fièvre typhoïde,Gradient Boosting,0.9512913435175112,0.2582016069147098,0.4810126683082658,6.472413623150731
Fièvre typhoïde,KNN,0.727459304471586,0.7006640809036431,1.1378083563932828,15.009568387980696
Fièvre typhoïde,SVR,0.7836146263760545,0.5957978782493059,1.0138352565201048,13.831328437745082
Grippe,Linear Regression,0.6947336490405691,0.8384094900560259,1.0603478063137026,10.487405043798772
Grippe,Ridge Regression,0.6952483908064505,0.836694959285659,1.0594534470439951,10.469821601447832
Grippe,Random Forest,0.9388796705294908,0.3452217641074002,0.4744623088407261,4.0442786965779005
Grippe,Gradient Boosting,0.9404378016478594,0.3306319562911002,0.4683755691532896,3.928563917031649
Grippe,KNN,0.7412744216469753,0.6818831382526908,0.9761769705377374,8.681637230841488
Grippe,SVR,0.771821867882307,0.5872741511149896,0.9167393743683344,7.895256277764825
Infection respiratoire aiguë,Linear Regression,0.7724165070148868,0.5217825164790824,0.7397045482484417,5.588507065234114
Infection respiratoire aiguë,Ridge Regression,0.7738667281267562,0.5189915002873535,0.7373439869842351,5.566013728801429
Infection respiratoire aiguë,Random Forest,0.9557975721851594,0.1813989501287524,0.3259950243461734,2.090883051827916
Infection respiratoire aiguë,Gradient Boosting,0.9702980786711868,0.1858388520625462,0.2672269048007799,2.008371983999756
Infection respiratoire aiguë,KNN,0.7978198699812927,0.4666313453374571,0.6971996259599762,5.165432032593555
Infection respiratoire aiguë,SVR,0.8987009507022923,0.2708281789299221,0.4935039060556101,3.01213561270722
MAPI GRAVES,Linear Regression,0.3120178957138275,0.3189612905878743,0.354248941329301,19.232155363480988
MAPI GRAVES,Ridge Regression,0.2732530481054469,0.3286306419384602,0.3640923883302264,20.027607069667027
MAPI GRAVES,Random Forest,0.0,0.4074936137452244,0.449638495877621,26.49369721926463
MAPI GRAVES,Gradient Boosting,0.0,0.4296132308174352,0.4790366670912017,24.738618916792625
MAPI GRAVES,KNN,0.0,0.4854524941402472,0.5237923452816222,29.912783827519263
MAPI GRAVES,SVR,0.1671382164942972,0.3190239362936875,0.3897682485495514,22.5414049677358
MAPI LEGERES,Linear Regression,0.6276152978729344,0.7772549750406809,0.987074495085696,20.454426700817745
MAPI LEGERES,Ridge Regression,0.6396208193592361,0.7633299760742831,0.9710327137472674,20.210595627170573
MAPI LEGERES,Random Forest,0.8666023559470672,0.3949832193105584,0.5907831422197221,10.556484619240411
MAPI LEGERES,Gradient Boosting,0.8408140854496622,0.4474273871669783,0.6453663736407895,12.715142745336674
MAPI LEGERES,KNN,0.7704407728317947,0.5368949602295648,0.7749994452003331,18.400306408503123
