Semaine,Date_debut,Mois,Trimestre,Maladie,Total_cas,Total_deces,Taux_letalite_pct
2023-S03,2023-01-16,1,Q1,DECES MATERNELS,228.0,10.0,4.39
2023-S03,2023-01-17,1,Q1,DECES MATERNELS,1.0,0.0,0.0
2023-S04,2023-01-23,1,Q1,DECES MATERNELS,139.0,16.4,11.8
2023-S04,2023-01-26,1,Q1,DECES MATERNELS,1.0,1.0,100.0
2023-S04,2023-01-29,1,Q1,DECES MATERNELS,1.0,1.0,100.0
2023-S05,2023-01-30,1,Q1,DECES MATERNELS,30.0,10.0,33.33
2023-S05,2023-02-01,2,Q1,DECES MATERNELS,24.0,6.0,25.0
2023-S07,2023-02-13,2,Q1,DECES MATERNELS,277.0,12.0,4.33
2023-S07,2023-02-16,2,Q1,DECES MATERNELS,1.0,1.0,100.0
2023-S08,2023-02-20,2,Q1,DECES MATERNELS,234.0,9.3,3.97
2023-S08,2023-02-22,2,Q1,DECES MATERNELS,1.0,1.0,100.0
2023-S22,2023-06-02,6,Q2,DECES MATERNELS,39.0,13.0,33.33
2023-S26,2023-07-01,7,Q3,DECES MATERNELS,31.0,1.0,3.23
2023-S35,2023-09-01,9,Q3,DECES MATERNELS,23.0,7.0,30.43
2023-S48,2023-12-01,12,Q4,DECES MATERNELS,2.0,2.0,100.0
2023-S00,2023-01-01,1,Q1,Diarrhée aqueuse,305.0,0.0,0.0
2023-S01,2023-01-02,1,Q1,Diarrhée aqueuse,2126.0,105.5,4.96
2023-S02,2023-01-09,1,Q1,Diarrhée aqueuse,1801.0,145.6,8.08
2023-S03,2023-01-16,1,Q1,Diarrhée aqueuse,11828.0,161.2,1.36
2023-S03,2023-01-17,1,Q1,Diarrhée aqueuse,45.0,0.0,0.0
2023-S03,2023-01-19,1,Q1,Diarrhée aqueuse,296.0,0.0,0.0
2023-S03,2023-01-22,1,Q1,Diarrhée aqueuse,77.0,0.0,0.0
2023-S04,2023-01-23,1,Q1,Diarrhée aqueuse,10721.0,157.9,1.47
2023-S04,2023-01-24,1,Q1,Diarrhée aqueuse,554.0,2.0,0.36
2023-S04,2023-01-26,1,Q1,Diarrhée aqueuse,377.0,0.0,0.0
2023-S04,2023-01-29,1,Q1,Diarrhée aqueuse,298.0,0.0,0.0
2023-S05,2023-01-30,1,Q1,Diarrhée aqueuse,11307.0,23.0,0.2
2023-S05,2023-02-01,2,Q1,Diarrhée aqueuse,9233.0,11.0,0.12
2023-S06,2023-02-06,2,Q1,Diarrhée aqueuse,1510.0,2.0,0.13
2023-S07,2023-02-13,2,Q1,Diarrhée aqueuse,11883.0,165.6,1.39
2023-S07,2023-02-16,2,Q1,Diarrhée aqueuse,314.0,0.0,0.0
2023-S08,2023-02-20,2,Q1,Diarrhée aqueuse,10492.0,144.4,1.38
