DEBUTSEM,MALADIE,TOTALCAS,TOTALDECES
2023-01-30,Diarrhée sanglante,791.0,0.0
2023-02-01,Diarrhée sanglante,582.0,0.0
2023-02-06,Diarrhée sanglante,10.0,0.0
2023-02-13,Diarrhée sanglante,658.0,4.6
2023-02-16,Diarrhée sanglante,8.0,0.0
2023-02-20,Diarrhée sanglante,803.0,14.200000000000001
2023-02-22,Diarrhée sanglante,4.0,0.0
2023-06-02,Diarrhée sanglante,644.0,1.0
2023-07-01,Diarrhée sanglante,8.0,0.0
2023-09-01,Diarrhée sanglante,587.0,0.0
2023-12-01,Diarrhée sanglante,13.0,0.0
2023-01-16,FHA,0.0,0.0
2023-01-23,FHA,1.0,1.0
2023-01-30,FHA,0.0,0.0
2023-02-01,FHA,0.0,0.0
2023-02-13,FHA,1.0,0.0
2023-02-20,FHA,0.0,0.0
2023-06-02,FHA,0.0,0.0
2023-09-01,FHA,0.0,0.0
2023-01-02,FIEVRE JAUNE,1.0,0.0
2023-01-09,FIEVRE JAUNE,3.0,0.0
2023-01-16,FIEVRE JAUNE,16.0,0.9
2023-01-17,FIEVRE JAUNE,1.0,0.0
2023-01-22,FIEVRE JAUNE,1.0,0.0
2023-01-23,FIEVRE JAUNE,15.0,1.0
2023-01-24,FIEVRE JAUNE,2.0,0.0
2023-01-29,FIEVRE JAUNE,0.0,0.0
2023-01-30,FIEVRE JAUNE,20.0,0.0
2023-02-01,FIEVRE JAUNE,8.0,0.0
2023-02-13,FIEVRE JAUNE,15.0,2.4
2023-02-20,FIEVRE JAUNE,21.0,0.0
2023-06-02,FIEVRE JAUNE,13.0,0.0
2023-09-01,FIEVRE JAUNE,9.0,0.0
2023-01-01,Fièvre typhoïde,854.0,0.0
2023-01-02,Fièvre typhoïde,2421.0,324.4
2023-01-09,Fièvre typhoïde,2018.0,167.1
2023-01-16,Fièvre typhoïde,41637.0,391.4
2023-01-17,Fièvre typhoïde,1523.0,0.0
2023-01-19,Fièvre typhoïde,638.0,0.0
2023-01-22,Fièvre typhoïde,1523.0,2.0
